"Manufacturer Name","Model Name","HardWare Number","FirmWare Number","Application Number","Approval Number","Version","Product Type","Expiry Date","Approval Class","PIN Support","Key Management","Prompt Control","PIN Entry Technology","Functions Provided","not_marketed"
"Gilbarco s.r.l.","VGD 4.x AFD - SPOT M7, VGD 5.x AFD - SPOT M7","VGD 4.x AFD, VGD 5.x AFD, CR 1: GVR M7 HOTS ASK MOTORIZED Rev.PCI:4.X, PCI PTS 4.1 AN #4-20267, CR 2: GVR M7 MOTORIZED READER L PCI:4.x, REV A00, CR 3: VeriFone UX300 Hybrid Card Reader, PCI PTS 4.1 AN #4-20297, CR 4: VeriFone UX301 Hybrid Card Reader, CR 5: VeriFone UX 410 Contactless Card Reader, LCD 1: LCD 5.7 (AM-320240NS), LCD 2: LCD 10.4 (TX26D14VM2EAA), LCD 3: LCD 12.0 (M7 MODULE 12 SVGA LVDS FAN), LCD 4: LCD 15.6 (NL13676BC25-03F)","VGD.005D.03101.50001.1501F.01XX001","","4-20315","5.x","OEM PED","30 Apr 2026","PED","Online &amp; Offline","MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Gilbarco s.r.l.","VGD 5.x AFD AN  SPOT M7","VGD 5.x AFD AN, CR 1: GVR M7 HOTS ASK MOTORIZED Rev.PCI:4.X, PCI PTS 4.1 AN #4-20267, CR 2: GVR M7 MOTORIZED READER L PCI:4.x, REV A00, CR 3: VeriFone UX300 Hybrid Card Reader, PCI PTS 4.1 AN #4-20297, CR 4: VeriFone UX301 Hybrid Card Reader, CR 5: VeriFone UX 410 Contactless Card Reader, LCD 1: LCD 5.7 (AM-320240NS), LCD 2: LCD 10.4 (TX26D14VM2EAA), LCD 3: LCD 12.0 (M7 MODULE 12 SVGA LVDS FAN), LCD 4: LCD 15.6 (NL13676BC25-03F)","VGD.005D.03101.50001.1501F.01XX001","","4-20318","5.x","OEM PED","30 Apr 2026","PED","Online &amp; Offline","MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Globalcom Engineering s.p.a.","BI3000-L","BI3Kxxxxxx, BI3Rxxxxx","MZ10001 R01-01, MR3C005 R01-01","MR3Z001 R01-01","4-20257","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP,CTLS","0"
"Globalcom Engineering s.p.a.","BV1000","BV1Kxxxxxx, BV1Rxxxxxx","SRED: GBC Blue 3.0, MZ10001 R01-01 (FreeRtos OS), MR3C005 R01-01 (Secure manager)","GPA 3.0 (Global PCI application)","4-20265","3.x","OEM PED","30 Apr 2020","PED","Online &amp; Offline","MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP,SRED","0"
"Globalcom Engineering s.p.a.","GP1000","GP1000xxxxxx","SRED: R02.00, MZ1002 R01-01 (FreeRTOS OS v.7.4.2), MB4T004 R01-01 (Secure manager v.20)","MB3Z001 R01-01 (Global PCI application)","4-20278","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,SRED","0"
"Globalcom Engineering s.p.a.","BV1000CL","BV1Cxxxx","GBC41xxx","BV1000CL CL_PCI_APP 1.0.0","4-20301","4.x","SCR","30 Apr 2023","SCR","N/A","N/A","N/A","N/A","CTLS,OP,SRED","0"
"Globalcom Engineering s.p.a.","BV1000","BV1Rxxxx BV1Kxxxx BV1Cxxxx","GBK41xxx, GBR41xxx, GBC41xxx","BV1000K SDK_BV1000K 1.0.0, BV1000R CL_PCI_APP 1.0.0, BV1000CL CL_PCI_APP 1.0.0","4-20306","4.x","OEM PED","30 Apr 2023","PED","Online &amp; Offline","MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Globalcom Engineering s.p.a.","BV1000R-GB, BV1000R-PB, BV1000R-TB","BV1Rxxxx","GBR41xxx","BV1000R CL_PCI_APP 1.0.0","4-20307","4.x","OEM SCR","30 Apr 2023","SCR","N/A","N/A","N/A","N/A","ICCR,MSR,OP,SRED","0"
"GMX YouTransactor","SK05","SK05xxx1x","V1.x.x.9, V2.x.x.9","","4-80009","3.x","PED","30 Apr 2020","PED","Offline","DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,PIN Entry,OP,SRED","0"
"GMX YouTransactor","SK100","SK100 x x x x x x x 1 x, SK100 x x x x x x x 2 x","V1.x.x.x, V2.x.x.x","","4-80011","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","MK/SK,DUKPT","Acquirer-controlled","Touch Screen","Display,ICCR,MSR,CTLS,PIN Entry","0"
"GMX YouTransactor","uCube NFC, uCube","uCube NFC: YCUBEY11x, uCube: YCUBEN11x","V3.x.x.x","","4-80019","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"GMX YouTransactor","YouCube, uCubeNB","YCubexx1x, YCubexx2x, YouCube: YCubex13x, uCubeNB: YCubex23x","SRED: V1.x.x.x, V2.x.x.x, V4.x.x.x","","4-80010","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP,SRED","0"
"goSwiff Ltd.","ST100","P001121100000","2.0.0","","4-10152","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","DUKPT","N/A","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP,SRED","0"
"GRG Banking Equipment Co., Ltd.","EPP-004","YT2.232.0301V1.xx","YT2.480.0420V1.xx","","4-40182","4.x","OEM EPP","30 Apr 2023","EPP","Online","MK/SK","N/A","Physical Keypad","PIN Entry","0"
"Guangzhou KingTeller Automated Teller Machine Technology Co.,Ltd","KT-PIN130-A","HV1.1","FV1.1","","4-40208","4.x","OEM EPP","30 Apr 2023","EPP","Online","MK/SK","N/A","Physical Keypad","PIN Entry","0"
"Guangzhou Kingteller Technology Co. Ltd.","KT-PIN130","HV1.1","FV1.1","","4-40207","4.x","OEM EPP","30 Apr 2023","EPP","Online","MK/SK","N/A","Physical Keypad","PIN Entry","0"
"Hanchang System Corp","UM-230","HW-FS-UM230-V01","lnx2631-fs-um230-v02","","4-60160","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP","1"
"Hanchang System Corp","UC-230","HW-FS-UC230-V01","lnx2631-fs-um230-v02","","4-60167","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP","1"
"Hangzhou Sunyard Technology Co., Ltd","P90","V02","1.1","","4-40096","3.x","PED","30 Apr 2020","PED","Online","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,PIN Entry","0"
"Hangzhou Sunyard Technology Co., Ltd","A30","V02","1.0","","4-60149","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Touch Screen","Display,ICCR,MSR,PIN Entry","1"
"Hangzhou Sunyard Technology Co., Ltd","S530","V02","1.1","","4-60150","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry","0"
"Hangzhou Sunyard Technology Co., Ltd","S760","V02","1.0","","4-80002","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry","1"
"Hangzhou Sunyard Technology Co., Ltd","S750","V02","1.0","","4-80003","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry","1"
"Hangzhou Sunyard Technology Co., Ltd","Vi218","VI218-MAIN-V1.00, Vi218-MAIN-V1.00, Vi218-MAIN-V1.10","VI218-USER-V1.00, Vi218-USER-V1.00, Vi218-USER-V1.10 (SRED), Vi218-USER-V1.20 (SRED, OP)","","4-10178","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Hangzhou Sunyard Technology Co., Ltd","S380","V02","1.0","","4-80004","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry","0"
"Hangzhou Sunyard Technology Co., Ltd","i80","SYD-i80-A4-xx-xxx","V1.0.1","","4-40225","4.x","PED","","PED","Online &amp; Offline","MK/SK","Acquirer-controlled","Touch Screen","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Hengbao Co., Ltd.","imPOS","1.2.0","1.0.5","","4-70023","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,SRED","0"
"Hitachi-Omron Terminal Solutions, Corp","TS-M554","Hx10A, Hx10B, Hx10C, Hx10D, HY10B","XJ0106, XJ0107, XJ0108, XJ0200, F0202, F0113, F0114, F0116, F0203, F0204","","4-10108","3.x","OEM EPP","30 Apr 2020","EPP","Online","MK/SK","N/A","Physical Keypad","PIN Entry","0"
"HP Atalla","Ax160","A10160 (HW P/N AJ560A), A9160 (HW P/N AJ558A), A8160 (HW P/N AJ556A), A8160 Network Security Processor, A9160 Network Security Processor, A10160 Network Security Processor, A8160 NSP Spare, A9160 NSP Spare, A10160 NSP Spare, HPE A8160 NSP Spare, HPE A9160 NSP Spare, HPE A10160 NSP Spare, HPE A8160 Network Security Processor, HPE A9160 Network Security Processor, HPE A10160 Network Security Processor, HPE A10160(Rev C) Spare Net Sec Processor, HPE A9160 (Rev C) Spare Net Sec Processor, HPE A8160 (Rev C) Spare Net Sec Processor, HPE A8160 D Network Security Processor, HPE A9160 D Network Security Processor, HPE A10160 D Network Security Processor, HPE A10160 (Rev D) Spare Net Sec Processor, HPE A9160 (Rev D) Spare Net Sec Processor, and HPE A8160 (Rev D) Spare Net Sec Processor","1.21, 2.30","","4-10105","1.x","HSM","30 Apr 2019","HSM","N/A","MK/SK,DUKPT","N/A","N/A","N/A","0"
"Hugin Yazilim Teknolojileri A.S.","X900","V6.xx","V1.01","","4-60207","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry","0"
"Hugin Yazilim Teknolojileri A.S.","Vx675 ECR","M265-xxx-xx-xxx-3, M265-xxx-xx-TRx-3","SRED: QT650101, QT650102, QT650103, QT650104, QT650120, QT650240, QT650340, QT650251, QT650252, QT650253, QT650245, QT650240.xxxxxxxx, QT650253.xxxxxxxx, SRED: QT650120, QTyy0530.xxxxxxxx, OP: 2.x.x",",","4-10182","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP,SRED","0"
"Hyundai Mib Co., Ltd.","HD6000","HD6000-HW-V.1.3x","HD6000-FW-V.1.1x","","4-70032","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Hyundai MIB International Co., Ltd.","HD6000","HD6000-HW-v1.00","HD6000-SW-v1.00","","4-70031","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"I Love Velvet Inc.","U-Holster","UHx-xx-01","SRED (CTLS):1.1.35","","4-80012","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","DUKPT","N/A","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,SRED","0"
"ICP Entwicklungs GmbH","Chronos compact","CHRO-COM-1.00-aa-bb-cc-dd","OS 3.10, SCO-700.01, SAP-700.01, SCO-700.02","APP-700.01","4-20295","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"ICP Entwicklungs GmbH","Chronos mobile","CHRO-MOB-1.00-ww-xx-yy-zz","OS 3.10, SCO-700.01, SAP-700.01, SCO-700.02","APP-700.01","4-20302","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"ICP Entwicklungs GmbH","Chronos desk","CHRO-DES-1.00-01-02-yy-zz","OS 3.10; SCO-700.01; SAP-700.01","APP-700.01","4-20312","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"ICP Entwicklungs GmbH","Chronos complete","CHRO-CPL-1.00-01-02-yy-zz","OS 3.10, SCO-700.01, SAP-700.01","APP-700.01","4-20313","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"ICP Entwicklungs GmbH","ICP BIA O; ICP BIA O Xenios","PED1: BIA O-02-xx-xx-01;, PED2: BIA O-10-xx-xx-01;, PED3: BIA O-12-xx-xx-01;, PED4: BIA O-02-xx-xx-90;, PED5: BIA O-10-xx-xx-90;, PED6: BIA O-12-xx-xx-90;, CR1:	CR 700 O-HP-01-01;, CR2:	CR 700 O-HP-01-02;, CR3:	IDVK-3x8xxx","[variant1; non SRED], all PED variants: S4.50A-P6; A1.00A-S4;, CR1, CR2: B3.10A-H1, R3.10A-H1;, [variant2; non SRED], all PED variants: S4.70A-P6;  A1.10A-S4;, CR1; CR2: B3.10A-H1; R3.10A-H1;, [variant3; SRED], all PED variants: S4.80A-P6; C8.00A-C7; A1.10A-S4;, CR1; CR2: B3.10A-H1, CR3: v1.00, V1.10.xxx.S;","","4-20191","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"ICP Entwicklungs GmbH","BIA D-HP","PED1:	BIA D-HP-02-xx-xx-96, PED2: 	BIA D-HP-10-xx-xx-96, PED3: 	BIA D-HP-12-xx-xx-96, PED4: 	BIA D-HP-02-xx-xx-97, PED5:	BIA D-HP-10-xx-xx-97, PED6:	BIA D-HP-12-xx-xx-97","S4.70A-P6, A1.00A-S4, B3.10A-H1, R3.10A-H1, C8.00A-C7, A1.10A-S4, S4.80A-P6","","4-20287","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"ID Tech","BTPay 200","IDMR-PBT81xxxxxx","SRED: 1.00, 1.01","","4-10171","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","MK/SK,DUKPT","Both","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP,SRED","0"
"ID Tech","SecuRED","IDSR-33x1xxxxx","SRED: 1.07, 1.08, 2.00","","4-10144","3.x","SCR","30 Apr 2020","SCR","N/A","DUKPT","N/A","N/A","MSR,SRED","0"
"ID Tech","SecuRED","IDSR-38xxxxxx","V2.00, V2.01","","4-10184","4.x","SCR","30 Apr 2023","SCR","N/A","N/A","N/A","N/A","MSR,SRED","0"
"ID Tech","Dual Head SecuRED","ID-80153001-001","V1.01.xxx.S","","4-10222","4.x","SCR","30 Apr 2023","SCR","N/A","N/A","N/A","N/A","MSR,SRED","0"
"ID Tech","Airline SRED MSR","186391-101","V1.00.xxx.S","","4-30265","4.x","OEM SCR","30 Apr 2023","SCR","N/A","N/A","N/A","N/A","MSR,SRED","0"
"ID Tech","SmartPIN L100","IDPB-60x400M Rev A, IDPB-60x400M Rev B","V1.00.xxx.S","","4-10223","4.x","OEM EPP","30 Apr 2023","EPP","Online","MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,PIN Entry","0"
"ID Tech","ViVOpay Kiosk III","IDVK-3x8xxx","v1.00, V1.10.xxx.S","","4-10205","4.x","SCR","30 Apr 2023","SCR","N/A","N/A","N/A","N/A","CTLS,SRED","0"
"ID Tech","Spectrum Pro","106, 108","1.00, 1.01","","4-10217","4.x","OEM SCR","30 Apr 2023","SCR","Offline","N/A","N/A","N/A","ICCR,MSR,SRED","0"
"ID Tech","Augusta S","IDEM-8xxx, IDEM-8xxxx","V1.00, V1.01.xxx.S, V1.02.xxx.S","","4-10218","4.x","SCR","30 Apr 2023","SCR","N/A","N/A","N/A","N/A","ICCR,MSR,SRED","0"
"ID Tech","SREDKey","IDSK-53XXXXXXX","SRED: 1.01, 1.02, 1.02.xxx.S","","4-10156","3.x","SCR","30 Apr 2020","SCR","N/A","N/A","Vendor-controlled","N/A","MSR,SRED","0"
"ID Tech","SmartPIN B100 IDPB-702000M and SmartPIN B100 IDPB-705000M","80088001, 80088003","1.00, 1.20, 1.21.xxx.S","","4-10123","3.x","OEM EPP","30 Apr 2020","EPP","Online","MK/SK,DUKPT","N/A","Physical Keypad","PIN Entry","0"
"ID Tech","SmartPIN K100","IDPB-90x000x, IDPB-90x000x Rev.A","1.00, 1.20, 1.21.xxx.S","","4-10159","3.x","OEM EPP","30 Apr 2020","EPP","Online","MK/SK,DUKPT","N/A","Physical Keypad","PIN Entry","0"
"ID Tech","VP3600","IDMR-PBT93x33TEx (With CTLS; TDES MSR data encryption), IDMR-PBT93x33AEx (With CTLS; AES MSR data encryption), IDMR-PBT83x33TEx (No CTLS; TDES MSR data encryption), IDMR-PBT83x33AEx (No CTLS; AES MSR data encryption), IDMR-PBT93x33TEx Rev B (With CTLS; TDES MSR data encryption), IDMR-PBT93x33AEx Rev B (With CTLS; AES MSR data encryption), IDMR-PBT83x33TEx Rev B (No CTLS; TDES MSR data encryption), IDMR-PBT83x33AEx Rev B (No CTLS; AES MSR data encryption)","1.01.xxx.S, VP3600 FW V1.02.xxx.xxxx.S","","4-30290","5.x","PED","30 Apr 2026","PED","Online &amp; Offline","DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Infinite Peripherals, lnc","InfineaTab, Infinea Tab4","xxxN.02.00, xxxN.02.04","SRED: 02.08, 02.08.XX.XX","","4-30093","3.x","SCR","30 Apr 2020","SCR","N/A","Fixed,DUKPT","N/A","N/A","MSR,SRED","0"
"Infinite Peripherals, lnc","Infinea Bluepad","02.02.xx.xxBN","SRED: 02.04.x.x","","4-30122","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,SRED","0"
"Infinite Peripherals, lnc","LineaPro 4S, LineaPro 4, LineaPro 5","Xxx 0200, Xxx 02.05","SRED: 02.08, 02.08.XX.XX","","4-30088","3.x","SCR","30 Apr 2020","SCR","N/A","Fixed,DUKPT","N/A","N/A","MSR,SRED","0"
"Infinite Peripherals, lnc","Infinea Tab Mini","xxR0200","SRED (Non CTLS): EMSR: 02.08.xx.xx, SRED (CTLS): Main processor: 01.05.31.00, Main processor: 01.05.xx.xx","","4-30121","3.x","SCR","30 Apr 2020","SCR","N/A","Fixed,DUKPT","N/A","N/A","MSR,CTLS,SRED","0"
"Infinite Peripherals, lnc","Linea Pro PIN","xxxxB02.02 (Bluetooth), xxxxN02.02 (Standard)","SRED: 2.4.x.0","","4-30116","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,SRED","0"
"Infinite Peripherals, lnc","BLUEPAD-500, Infinea mPOS","02.03.xx.xx BN","SRED: 2.4.x.0","","4-30143","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,SRED","0"
"Infinite Peripherals, lnc","Prima M","01.01","SRED: 02.08, 02.08.xx.xx","","4-30123","3.x","SCR","30 Apr 2020","SCR","N/A","Fixed,DUKPT","N/A","N/A","MSR,SRED","0"
"INFORMATIK BILISIM TEKNOLOJILERI SAN. TIC. LTD. STI.","inPOS m120","inf120CxxxxLxH1x","V.1.x.x.x","","4-80006","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP","0"
"Infoteks Bilgisayar Elektronik Telekom Medya Reklam Ltd. Sti","FUSIONS 410G","V10","1.6","1.6","4-40122","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry","0"
"Ingenico","IWL280","IWL2xx-11Txxxxx","820518V01.xx, 820365V02.xx, SRED : 820528V02.xx","820073v01.xx","4-20179","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Ingenico","IPP220, IPP280","iPP2xx-01Txxxxx","820514V02.xx, 820365V02.xx","","4-20199","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,PIN Entry","0"
"Ingenico","IWL350","IWL3xx-01Txxxxx","820518V01.xx, 820365V02.xx, SRED (Non CTLS) : 820528V02.xx","820073v01.xx","4-20206","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Touch Screen","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Ingenico","IWB220, IWB250","IWB2xx-01 Txxxxx, IWB2xx- 11Txxxxx","820305V01.xx, 820365V02.xx, SRED  (CTLS) : 820528V02.xx","820073V01.xx (Open Protocol)","4-20220","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Ingenico","iPP285","iPP2xx-21Txxxxx","SRED: 820514V02.xx, 820365V02.xx","","4-20224","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,SRED","0"
"Ingenico","IUC180B","IUC1xx-11Txxxxx","SRED (CTLS):820305 V01.xx","820365 V02.xx (key schemes),. 820073 V01.xx 1(Open Protocol module),. 820528V02.xx (SRED module)","4-30100","3.x","SCR","30 Apr 2020","SCR","N/A","Fixed,MK/SK,DUKPT","N/A","N/A","OP,SRED,CTLS","0"
"Ingenico","IWE280","IWE2xx-01Txxxxx, IWE2xx-11Txxxxx","820518 V01.xx, 820365V02.xx, SRED (CTLS) : 820528V02.xx","844577V01.x (OP)","4-20262","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Ingenico","iCMP","ICMxxx-01Txxxxx, ICMxxx-11Txxxxx, ICMxxx-21Txxxxx, ICMxxx-31Txxxxx","820305V01.xx, 820365V02.xx, SRED (CTLS): 820528V02.xx, 820539V01.xx","820073V01.xx (OP)","4-20235","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Ingenico","iSC250","iSC2xx-01Txxxxx","820518 V01.xx, 820518 V02.xx, SRED (Non CTLS): 820157 V01.xx","820365 V02.xx (key schemes). 820073 V1.xx (Open Protocol module).","4-30062","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Ingenico","ICT220, ICT250","iCT2xx-11Txxxxx","Non SRED (CTLS): 820305 V02.xx, 820375V01.xx, 820365 V02.xx, SRED (Non CTLS): 820528V02.x, 820073v01.xx","","4-20196","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Ingenico","IWL220, IWL250","IWL2xx-01Txxxxx","Non SRED (CTLS): 820365 V02.xx, 820305V01.xx, 820375V01.xx, SRED (Non CTLS): 820073v01.xx, 820528v02.xx","","4-20181","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Ingenico","IPP480","iPP4xx-01Txxxxx","820518V01.xx, 820365V02.xx, SRED: 820528V02.xx, 820539V01.xx","820073V01.xx","4-20213","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Ingenico","iSMP","iMP3xx-01Txxxxx, iMP3x0-01Txxxxx (already approved hardware version), iMP3x2-01Txxxxx (new hardware version)","820305V01.xx, 820365V02.xx, SRED (Non CTLS) : 820528V02.xx","820073 V1.x","4-20183","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP,SRED","0"
"Ingenico","iUR255, iUR255P","iUR2xx-01Txxxxx, iUR2xx-11Txxxxx","820168 v01.xx","820365 v02.xx","4-30155","4.x","OEM SCR","30 Apr 2023","SCR","N/A","N/A","N/A","N/A","ICCR,MSR,SRED","0"
"Ingenico","iUI120","iUI1xx-01Txxxxx","820167 V11.xx","820365 V02.xx, 820073 V01.xx, 820528 V02.xx","4-30157","4.x","OEM Non PED","30 Apr 2023","Non PED","N/A","Fixed,MK/SK,DUKPT","N/A","N/A","OP,SRED","0"
"Ingenico","iSMP2","iMP4xx-01Txxxxx, iMP4xx-11Txxxxx","820305 V11.xx (base firmware)","820365 V02.xx (key scheme), 820073 V01.xx (Open protocol module), 820528 V02.xx (SRED module)","4-30150","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Ingenico","iUC280","IUC28x-01Txxxxx","820176 v01.xx","820365 V02.xx","4-30160","4.x","OEM SCR","30 Apr 2023","SCR","N/A","N/A","N/A","N/A","Display,ICCR,MSR,CTLS,SRED","0"
"Ingenico","iUC285","IUC28x-01Txxxxx","820177V01.xx","820365V02.xx (KM Schemes),. 820073V01.xx (OP),. 820528V02.xx (SRED)","4-30161","4.x","OEM Non PED","30 Apr 2023","Non PED","N/A","Fixed,MK/SK,DUKPT","N/A","N/A","Display,ICCR,MSR,CTLS,OP,SRED","0"
