"company","website","place of business","primary contact","servicing markets","supported languages"	
"Globaltech & Infosec Private Limited","www.gtisec.com","India","Atul Luthra   (CEMEA) atul@gtisec.com T: +91 9899 809 804  Nishikant Singh (APAC) nishikant@gtisec.com T: +91 9818398494","CEMEA, Asia Pacific","English"
"GM Security Technologies","www.gmsectec.com","USA, Colombia, Ecuador, Panama, Costa Rica, Dominican Republic, Trinidad and Tobago, Puerto Rico, Argentina, Bermuda, Bolivia, Chile, Guatemala, Honduras, Jamaica, Mexico, Nicaragua, Paraguay, Peru, Uruguay, Aruba, El Salvador, Haiti, St. Kitts, Antigua and Barbuda, Bonaire, Curacao","Russell M. Latimer Russell.Latimer@GMsectec.com T-+1 787-620-5260","LAC","English, Spanish"
"GoSecure Inc.","www.gosecure.com","Canada","Pascal Fortin pfortin@gosecure.ca T-514-287-7427 x227","Canada","English, French"
"Gotham Technology Group, LLC","www.gothamtg.com","USA","Nancy Rand nrand@gothamtg.com  T  201-474-4254","USA","English"
"Grant Thornton - USA","www.gt.com","USA","Jeff Witmyer  jeff.witmyer@us.gt.com T: +1 215 814 4053","USA","Arabic, Chinese (Traditional), Danish, English, French, German, Hindi, Hungarian, Portuguese, Russian, Spanish, Swedish"
"Grant Thornton Consulting CJSC - Armenia","www.am.gt.com","Armenia","Vladislav Muradyan vladislav.muradyan@am.gt.com 374-10276544","CEMEA","Armenian, English, French, Russian, Georgian"
"Grant Thornton LLP","www.grantthornton.ca","Canada","Leah White Leah.White@ca.gt.com +1-902-491-7718","Canada","English"
"Grant Thornton New Zealand Limited","www.nz.gt.com","New Zealand","John Bergamasco John.Bergamasco@nz.gt.com T- 64-9-308-2570","New Zealand","English"
"GRC 360 Pvt. Ltd.","www.GRC360.net","UK","Kashif Sohail +92.300.8654095 Kashif@GRC360.net","CEMEA","English, Urdu"
"GRsee Consulting","www.grseecon.com","Israel, Europe, Italy, USA","Ben Ben Aderet  ben@grseecon.com T-972-52-3866591(Israel)  T-646-520-0677 (USA) (Office)","LAC, USA, Europe","English, Hebrew, French, Spanish, Italian, Russian"
"GuidePoint Security, LLC","www.guidepointsecurity.com","USA","Bryan Orme bryan.orme@guidepointsecurity.com T - 703-241-1868","USA","English"
"Hacktive Security S.R.L.","hacktivesecurity.com/","Italy, Ireland","Francesco Mormile francesco@hacktivesecurity.com +39-320-067-9690","Europe","English, Italian"
"HALOCK Security Labs","www.halock.com","USA","Viviana Wesley,  pci@halock.com T- 847-221-0239","Canada, Europe, India, USA","English"
"Hivint Pty. Ltd","www.hivint.com","Australia","Craig Searle craig@hivint.com T-61-1300-733-940","Australia","English, Cantonese, Mandarin"
"HP Information Security UK Limited","www.hp.com/info/security","England","Mark Brewis brewis@hp.com +44 (0) 7584 334 931","Europe","English"
"Info-Assure Ltd.","www.info-assure.co.uk","UK","Martin Walsham martin.walsham@info-assure.co.uk T-44-7760-764486","Europe","English"
"Infoprive Services Limited","www.infoprive.com","Nigeria","Omotosho Adetokumbo Adetokunbo@infoprive.com T- 234-080306-79474","CEMEA","English"
"Information and Infrastructure Technologies, Inc.","www.ewa.com","USA","James Knoke  jknoke@iit-corp.com T- 703-478-7660","USA","English"
"Information Exchange Inc.","www.goinfox.com","USA","Jonathan Foster  jfoster@goinfox.com T  512-394-7874","USA","English"
"Information Risk Management (IRM)","www.irmplc.com/","UK","Andrew Finnan Andrew.Finnan@irmsecurity.com T +44 (0)20 7808 6435","Europe","English, French, German, Hindi, Punjabi, Marathi, Arabic, Spanish"
"Informzaschita","www.infosec.ru","Russia, Kazakhstan, Albania, Algeria, Armenia, Azerbaijan, Bahrain, Belarus, Angola, Bosnia-Herzegovina, Benin, Bulgaria, Botswana, Burkina, Faso, Cameroon, Cape Verde, Croatia, Egypt, Gabon, Gambia, Georgia, Ghana, Irac, Jordan, Kenya, Kosovo, Kuwait, Kyrgyzstan, Lebanon, Liberia, Libya, Lesotho, Macedonia, Mali, Malawi, Mauritania, Moldova, Montenegro, Morocco, Mozambique, Namibia, Nigeria, Oman, Pakistan, Qatar, Romania, Palastine, Saudi Arabia, Serbia, Rwanda, Senegal, Seychelles, Sierra Leone, Syria, South Africa, Switzerland, Tajikistan, Togo, Tunisia, Turkmenistan, Tanzania, Ivory Coast, UAE, Ukraine, Uzbekistan, Yemen, Zambia, Zimbabwe, Uganda","Ekaterina Kossova pcidss@infosec.ru + +7 495 980 2345 ext. 816","CEMEA","English, Russian"
"Infosec Corporation","www.infosec.co.jp","Japan","Noriko Miyahara noriko.miyahara@infosec.co.jp T: +81-3-5733-6503","Japan","English, Japanese"
"InfoSecure Redteam, Inc.","infosecureredteam.com","","Patrick W. Bass patrick@infosecureredteam.com 877-674-6965","USA","English"
"Insside Information Inteligente SRL","www.insside.net","Argentina, Chile, Brazil, Colombia, Costa Rica, Dominican Republic, Ecuador, Guatemala, Mexico, Panama, Paraguay, Peru, Puerto Rico, Uruguay, Bolivia","Martin Jose Lambertucci mjl@insside.net T- 00-54-11-4312-4204 (Argentine) T- 00-56-22-586-0980 (Chile)","LAC","English, Portuguese, Spanish"
"IntaForensics Ltd.","www.intaforensics.com","UK","Damian Walton damian.walton@intaforensics.com T- 44-0-2477-717-780","Europe","English"
"Integrated Technology Systems S.L.","www.its-security.es","Spain","Bosco Smith bosco.smith@its-security.es T+34 628575005","Europe","English, Spanish, Basque"
"International Certificate Authority of Management System","www.icms.co.jp/pcidss/","Japan","Yoichi Ueno pcissc@icms.co.jp T  81-3-5484-4348","Asia Pacific","Japanese, English"
"Internet Security Auditors","www.isecauditors.com","Spain, Colombia","Daniel Fernandez (Bogotá, Colombia - LAC &amp; USA) pci@isecauditors.com +57 (1) 638 68 88 Carmen Areces (Madrid, Spain) pci@isecauditors.com +34 91 763 40 47 Antoni Nicolas (Barcelona, Spain) pci@isecauditors.com +34 93 305 13 18  pci@isecauditors.com","LAC, USA, Europe","English, Spanish, Catalan, Portuguese"
"Internet Security Systems a wholly owned IBM Company","www.iss.net","Israel, USA, Canada, Mexico, Panama, Colombia, Chile, Brazil, Argentina, Peru, Puerto Rico, US Virgin Islands, Austria, UK, France, Italy, South Africa, Denmark, Germany, Belgium, Finland, Greece, Romania, Lithuania, Sweden, Netherlands, Austria, Spain, Poland, Portugal, Russia, Czech Republic, Croatia, Egypt, Israel, Dubai, Australia, New Zealand, Singapore, Hong Kong, Japan, China","Chris Sodergren (United States / Canada)  csodergr@us.ibm.com  Mobile: +1 (925) 726-7996   Christian J. Moldes (Latin America &amp; Caribe)  cjmoldes@us.ibm.com  Mobile: +1 (202)-604-3277  Serdar Cabuk (Europe / Middle East / Africa)  serdar_cabuk@uk.ibm.com  Mobile: +44 (0)7758 136124   Amit Prakash (Asia Pacific)  amit@sg.ibm.com  Mobile: +65-6654-3813","Asia Pacific, CEMEA, Canada, Europe, LAC, USA","Arabic, Chinese (Simplified), Chinese (Traditional), Chinese (Mandarin), Danish, English, Finnish, French, French Canadian, German, Greek, Hebrew, Hindi, Italian, Japanese, Norwegian, Romanian, Russian, Polish, Portuguese, Spanish, Swedish, Bosnian, Croatian, Serbian"
"Intersec Worldwide","www.intersecworldwide.com","USA","Mikken Tutton pci@intersecworldwide.com T-949-270-0504","USA","English, Portuguese, Spanish"
"Intrinium, Inc.","www.intrinium.com","USA","Stephen Heath 509.340.3323  Stephen.Heath@intrinium.com","USA","English"
"IQ Information Quality","www.iqcol.com","Colombia","David Guillermo Angarita Guillermo.Angarita@iqcol.com T  +57 1 7033216 ext 101","LAC","Spanish"
"IS Partners LLC","www.ispartnersllc.com","USA","Anthony Jones ajones@ispartnersllc.com T- 215 675 1400","USA","English"
"Isoqar India Pvt. Ltd.","www.isoqarindia.com","India","Nishid Shivdas nishids@isoqarindia.com 91-79-65452100","Asia Pacific","English, Hindi"
"IT Governance Ltd","www.itgovernance.co.uk","UK","Alan Calder acalder@itgovernance.co.uk T-44-1353 771-052","Europe","English"
"IT Professional Group, Inc.","www.ITPG.org","USA","David Kim  dk@itpg.org T-703-953-4739","USA","English"
"Jet Infosystems","www.jet.msk.su","Russia","Alexey Kupriyanov pci-dss@jet.su +7 (495) 411-7601","Europe, CEMEA","English, Russian"
"JSC DialogueScience","www.dialognauka.ru","Russia","Alexander Krupchik krupchik@dialognauka.ru +7 495 980 6776 ext. 164","CEMEA","English, Russian"
"K3DES, LLC","www.k3des.com","USA","Jim Richardson (USA) Jim.richardson@k3des.com T - 713-545-5867 Janet Edwards (Europe) Janet.edwards@k3des.com T +34-654490550","Australia, Canada, Europe, LAC, USA","English, German, Spanish, Cantonese, French, Mandarin"
"KalioTek, Inc.","www.moyogroup.com","USA","Mark Richards T 408.550.8007 mrichards@kaliotek.com","USA","English"
"Kashing Limited","www.securityicon.co.uk","UK","Gert Horne T - 44-203-286-0503 gert.horne@kashing.co.uk","Europe","Afrikaans, Dutch, English, French, Italian, Spanish, German, Russian"
"Kima Projects & Services","www.kimaps.com","Italy","Gennaro Deluca Gennaro.Deluca@kimaps.com","Europe","English, Italian"
"Kirkpatrick Price, Inc. dba Raven Eye","www.kirkpatrickprice.com/pci-dss/","USA","Jeff Wilder j.wilder@kirkpatrickprice.com 800.977.3154 x110","Canada, USA","English"
"KnowIT Secure AB","www.knowit.se","Sweden","Victor Langassve victor.langassve@knowit.se T-46-70-825-0080","Europe","English, Swedish, Danish, Norwegian"
"Knowledge Consulting Group","www.knowledgecg.com","USA","John Stiffler john.stiffler@mantech.com","USA","English"
"Kroll Cyber Security","www.kroll.com/en-us/cyber-security","USA","Erik Rasmussen erik.rasmussen@kroll.com T - 571 926 4592","Asia Pacific, USA","English"
"Krypton Ltd.","www.kryptonsecurity.com","Abu-Dhabi, Bahrain, Croatia, Dubai, Egypt, Jordan, Lebanon, Morocco, Oman, Qatar, Saudi Arabia, Turkey, Tunisia, Africa, Eastern Europe","Cyrus Salesse c.salesse@kryptonsecurity.com +9611-330-326 X11","CEMEA","Arabic, English, French, German"
"KYTE Consultants, Ltd.","www.kyteconsultants.com","Malta, Ukraine","Alan Alden alan@kyteconsultants.com +356 2759 5000","CEMEA, Marshall Islands, USA, Europe","Maltese, English, Italian, French, Russian, Ukranian"
"Lattimore, Black Morgan and Cain, PC","www.lbmc.com","USA","Mark Burnette (USA) mburnette@lbmc.com T  (615) 309-2447","USA","English"
"Lazarus Alliance, Inc.","www.lazarusalliance.com","USA","Michael Peters Michael.Peters@LazarusAlliance.com T-762-822-4174","USA","English"
"LE Global Services Sdn. Bhd.","www.le-global.com","Malaysia, Asia Pacific, Cambodia, China, Hong Kong, Indonesia, Japan, Korea, Macau, Philippines, Singapore, Taiwan, Thailand, Vietnam, Brunei, Laos","Mr. Fong Choong Fook (Global) Phone: +603 58858089 email: qsa@lgms.global  Mr. Hominjono (Indonesia) Phone: +62 21 53660660  Phone: +62 811 801696 email: qsa.indonesia@lgms.global  Mr. Tiger Teng (Greater China) Phone: +886 918815408 Phone: +86 15821934086 Email: qsa.china@lgms.global  Mr. Vincent Huang (Taiwan) Phone: +886 922440986 Email: qsa.taiwan@lgms.global  Ms. Nora Li (China) Phone: +86 13501649191 Email: qsa.china@lgms.global","Asia Pacific","Bahasa (Malaya/Indonesian), Cantonese, Chinese (Simplified), Chinese (Traditional), English, Hakka (spoken only), Hokkien, Teo Chew"
"Link Tech","www.linktechconsulting.com","USA","Mark Doering markd@linktechconsulting.com T- (702) 233-8703","USA","English"
"LMPS Consulting","www.lmps-consulting.com","Morocco","Karim Hamdaoui khamdaoui@lmps-consulting.com T-212-661-471-647","CEMEA","Arabic, English, French"
"Loop Technology Pty Ltd","www.looptech.com.au","Australia","Andrew Wagner awagner@looptech.com.au T +61 2 9464 0100","Europe, Australia","English"
"M. Kuppuswamy PSG & Co.","www.mkpsgcocas.com","India","Panaiyur S, Gopalakrishnan psg@mkpsg.com T  91-44-28297268","Asia Pacific, Canada, LAC, USA, CEMEA","Bengali, English, Hindi, Kannada, Tamil, Telugu"
"Mandem Inc.","www.mandem.com","USA","Trony Clifton  trony@mandem.com T- 732 688 7046","USA","English"
"Marcum LLP","www.marcumllp.com","USA","Heather Bearfield heather.bearfield@marcumllp.com T-617-226-0420","USA","English"
"Megaplanit, LLC","www.megaplanit.com","USA","Frank Nudo fnudo@megaplanit.com T-1-224-944-1488","USA","English"
"Merchant Preservation Services, LLC d/b/a CampusGuard","www.campusguard.com","USA","Craig Henninger chenninger@campusguard.com T- (814) 571-1516","Australia, USA","English"
"Mercury Z LLC","www.mercuryZ.com","USA","Ken Meek kmeek@mercuryz.com t-919-899-9072","USA","English"
"Mnemonic","www.mnemonic.no","Scandinavia, Denmark, Norway, Sweden","Kare Presttun pci@mnemonic.no T  47-410-04-908","Europe","English, Norwegian, Swedish"
"Moss Adams LLP","www.mossadams.com","USA","Francis Tam  francis.tam@mossadams.com T- +1-310-295-3852","USA","English"
"NCC Services Ltd","www.nccgroup.trust/uk/our-services/security-consulting/information-risk-management-and-governance/","England, England, Australia, Singapore, UK, USA","Ben Jepson Ben.Jepson@nccgroup.trust T  0161 209 5200","Asia Pacific, CEMEA, USA, Europe","English, Hindi, Lithuanian, Marathi, Russian, Spanish, English, Dutch, French, Guajarati, Italian, Malay, Mandarin, Polish, Punjabi, Swahili, Amharic, Urdu, Welsh"
"NCI Secured Intelligence","www.nci.ca","Canada","Tom Beaupre pci-info@nci.ca 514.451.0578","Canada","English, French"
"NDB Advisory","www.ndbcpa.com","USA","Christopher Nickell cnickell@ndbcpa.com T  202-903-3884","Japan, USA","English"
"Net One Systems Co., Ltd.",":    http://www.netone.co.jp/english.html","Japan","Yasushi Oki T- 81-3-6810-0136   pci-contact@netone.co.jp","Japan","Japanese"
"Nettitude Ltd.","www.nettitude.com","UK, USA","USA and Canada: solutions@nettitude.com  T: +1 (212) 335 2238  Europe: solutions@nettitude.co.uk  T: +44 (0)345 520 0085","Canada, USA, Europe","English, Mandarin, Punjabi, Cantonese, Hebrew"
"Network Intelligence India Pvt. Ltd.","www.niiconsulting.com","India, Abu-Dhabi, Bahrain, Dubai, Kuwait, Malaysia, Nigeria, Oman, Philippines, Qatar, Singapore, Thailand, UK, Riyagh (KSA), Mumbai, Delhi, Pune, Bangaluru","K.K. Mookhey kkmookhey@niiconsulting.com +91 9820049549 Pratik Samant (UAE) pratik.samant@niiconsulting.com  T+971 561181669","Australia, CEMEA, India","Arabic, English, Hindi"
"Networks Group Inc","www.networksgroup.com","USA","Steven Fuller sfuller@networksgroup.com T-734-827-1400","USA","English"
"Newable Consulting Limited","www.newable.co.uk/consulting.php","UK","Sarah Hunt sarah.hunt@newable.co.uk T+44 (0)20 7940 1580","Europe","English, Arabic, Greek"
"Nexusguard Consulting Limited","www.nexusguard.com","Hong Kong, Asia Pacific, China, Indonesia, Macau, Malaysia, Philippines, Singapore, Taiwan, Thailand","pci@nexusguard.com T-+852 3188 5750","Asia Pacific","English, Cantonese, Hokkien, Indonesian, Japanese, Malaysian, Mandarin, Taiwanese"
"nGuard Inc.","www.nguard.com","USA","Charles Hutson qsa@nguard.com  T-866.888.7111","USA","English"
"Nixu Corporation","www.nixu.com","Finland","Niki Klaus nixu.sales@nixu.com +358 50 394 8996","Europe","English, Finnish, Swedish"
"Noordbeek B.V.","www.noordbeek.com","Netherlands","Edward van Egmond T- 31 6  23 32 62 72 edward@noordbeek.com","Europe","Dutch, English"
"Novacoast","www.novacoast.com","USA","Forrest Evans ehoward@novacoast.com T: 800-949-9933","USA","English"
"NRI Secure Technologies LTD","www.nri-secure.co.jp","Japan","Shunichi Itada itada@nri-secure.co.jp T - 81-3-6706-0500","USA, Asia Pacific","Japanese, English"
"NTT Data Intellilink Corporation","www.intellilink.co.jp/","Japan","Yo Ikeya  ikeyayo@intellilink.co.jp +81 3 5859 5428","Japan","Japanese"
"NTT Security (UK) Limited","http://www.nttcomsecurity.com","UK, Austria, Germany, Hong Kong, Japan, Singapore, Switzerland","Matthew Bright  uk.info@nttcomsecurity.com T +44 7748 760 252","Asia Pacific, Europe","English, German, Chinese (Mandarin), Japanese, Malay, Urdu, Chinese (Cantonese)"
"NTT Security (US) Inc.","www.nttcomsecurity.com","USA","Regina Shapiro regina.shapiro@nttcomsecurity.com +1 847 302 3370","Canada, USA","English"
"NTT Security Ltd.","www.advantio.com","Ireland, Italy, Luxembourg, France, UK, Lithuania, Ukraine","Martin Petrov (CEMEA, Europe) contact@advantio.com T: +353 (0)1 5065556","CEMEA, USA, Europe","English, Italian, French, Russian, Bulgarian, Dutch, Lithuanian, Ukrainian, Persian"
"NuArx, Inc.","www.nuarxinc.com","USA","Suraj Srinivas srinivass@nuarxinc.com T: 847-440-4978","Canada, USA","English"
"Nuix North America Inc.","www.nuix.com","USA","Chris Pogue  chris.pogue@nuix.com T- 918-994-6410","USA","English"
"O-C Group","www.o-cgroup.com","Finland, Germany, Ireland, Sweden, UK","Patrick Clarke (Ireland) pclarke@o-cgroup.com T  353-1-665-0430 Gernot Schaeffter (Germany) gschaeffter@o-cgroup.com T  49-6061-7062495 Ray Clarke(UK) rclarke@o-cgroup.com T  44-8450-000-499 Hubert O'Donoghue (CEMEA) hodonoghue@o-cgroup.com T-353-1-665-0431","CEMEA, Europe","English"
"Odyssey Consultants Limited","www.odysseyconsultants.com","Europe","Christos Onoufriou conoufriou@odysseyconsultants.com T-357-22463600","CEMEA, Europe","English, Greek"
"OmniCyber Security Ltd","www.omnicybersecurity.com","UK","Philip Ridley  pridley@omnicybersecurity.com T- 44-0203 488 0815","Europe","English"
"Online Enterprises DBA Online Business Systems","www.OBSGlobal.com","Canada, USA","Steve Levinson slevinson@obsglobal.com T-619-701-8614","China, Europe, India, Japan, USA, Canada","English"
"Optiv Security Inc.","www.optiv.com","Canada, USA","Justin George info@optiv.com  T- (866) 729-7707","Canada, USA","English"
"Orange Cyberdefense","www.orange-business.com","France","Francois Dumait pci.dss@orange.com T: 33-2-23-283030","Europe, CEMEA","English, French"
"Packer Thomas","www.packerthomas.com","USA","William Long   pciqsa@packerthomas.com T- 941-284-1380","USA","English"
"Paladion Networks Private LTD","www.paladion.net","India, Saudi Arabia, UAE, Bahrain, Oman, Qatar, Kuwait, Algeria, Malaysia, Singapore, Philippines, Thailand, Indonesia, USA, Canada, UK, Germany","Amit Roy (CEMEA, UAE, Bahrain, Kuwait, Oman, Africa) amit.roy@paladion.net T-971 528973333  Tirichine Bachir (Algeria) tirichine.bachir@paladion.net T- 213 55450-5421  Syed Shakeel (KSA) syed.shakeel@paladion.net T+966 53 43 27 933  Umesh Tejasvi (Qatar) Umesh.tejasvi@paladion.net T +97433777866  Sachin Varghese (Canada, Caribbean, Europe, USA) Sachin.varghese@paladion.net T- +1(703) 409-8838  Jaipal K (India, Nepal, Bangladesh, Sri Lanka) Jaipal.k@paladion.net T- +91 99723 14801  Bill Tan (Malaysia, Singapore, Thailand, Philippines, Indonesia, Vietnam) Bill.tan@paladion.net T - +6012 236 3903","CEMEA, Canada, LAC, USA, Asia Pacific","Arabic, English, Bahasa Malaysia, French, Malaysian"
"Panacea Infosec (P) Ltd.","www.panaceainfosec.com","India, Bahrain, Kuwait, Nigeria, Oman, Qatar, Saudi Arabia, UAE, Kenya, Central Europe, South Africa, Australia, Bangladesh, Eastern Europe, Egypt, Hong Kong, Indonesia, Japan, Malaysia, Morocco, Nepal, New Zealand, Philippines, Singapore, South Korea, Sri Lanka, Thailand, Tunisia, USA, Vietnam, Myanmar","Ajay Kaushik (India and Africa CEMEA) Ajay@panaceainfosec.com T+91 9810944187 Binoy Koonammavu (Middle East) Binoy@panaceainfosec.com T+971 56 981 3441","Asia Pacific, USA, CEMEA","English, Hindi, Malayalam"
"Parameter Security","www.parametersecurity.com","USA","David Chronister qsa@parametersecurity.com T-314-442-0472 x501","USA","English"
"Parsons Government Services, Inc.","www.parsons.com","USA","Jason McHuen Jason.mcHuen@Parsons.com T - 703-740-6743","USA","English"
"Payment Card Forensics, Inc. (PCF)","www.pcf.co.jp","Japan","Shusaku Nozaki T-81-3-5463-0333 pcissc@pcf.co.jp","Asia Pacific","English, Japanese"
"Payment Software Company (PSC)","www.paysw.com","Asia Pacific, Europe, USA, Canada, UK","Tony Bates  tony@paysw.com T - 408-228-0961 x104 Colin Clark (UK, Europe, CEMEA) colin@paysw.com T-44-1753-727-066","Asia Pacific, CEMEA, Canada, Europe, LAC, USA","English, French, Romanian, Spanish"
"PC Connection, Inc.","www.valcomtechnology.com","USA","Stephen P. Nardone snardone@pccpro.com T-603.683.7846","USA","English"
"PCI Consulting Australia PTY, LTD","www.pciconsultingaustralia.com.au","Australia","Brent Loughton brent.loughton@pciconsultingaustralia.com.au T-61-433-273-033","Australia","English"
"PCM Sales","ww.pcm.com","USA","Tunde Odeleye  Tunde.Odeleye@pcm.com T- 614-859-0118","USA","English"
"Performance Technology Partners LLC","www.ptpinc.com","USA","Ronald Hamilton  ronald.hamilton@ptpinc.com T- +1-714-679-5563","USA","English"
"PGI Strontium Ltd","www.pgicyber.com/Products/PCI-DSS-3_0","UK","Paul Traill Paul.Traill@pgitl.com T- 44-7920337686","Europe","English, French, German"
"Phillips Consulting Ltd.","www.phillipsconsulting.net","Nigeria","Oluwaseun Ngonnase  seunn@phillipsconsulting.net T-234-803-327-3290","CEMEA","English"
"PKS Compliance LLP","www.pkscompliance.com","Canada","Phares Sekalala sekalalap@sympatico.ca T: 416-700-8558","Canada","English"
"Plante Moran","www.plantemoran.com","USA","Scott Petree  Scott.Petree@plantemoran.com T-248.233.3898","USA","English"
"Pointe Solutions","www.pointesolutionsinc.com","USA, Canada","Hugh Burke Hugh@pointesolutionsinc.com T  610-524-1230","USA","English"
"Pondurance, LLC","www.pondurance.com","USA","Dustin Hutchinson  dustin.hutchison@pondurance.com T-317-429-0029","USA","English"
"Praetorian Secure, LLC","www.praetoriansecure.com","USA","Brent Bernard pci_qsa@praetoriansecure.com T-1-855.519.7328","USA","English"
"Presidio Networked Solutions, Inc.","www.presidio.com","USA","David Manning dmanning@presidio.com T: 301.623.3164","USA","English"
"Price and Associates CPAs, LLC, dba A-LIGN","www.alignsecurity.com","USA","Gene Geiger gene.geiger@a-lign.com T- 888-702-5446","Canada, LAC, USA","English"
"PricewaterhouseCoopers (PWC) -UK","www.uk.pwc.com","Europe","Ahsan Qureshi ahsan.qureshi@pwc.com +44 (0) 7955 501484","Europe","English"
"PricewaterhouseCoopers - New Zealand","www.pwc.com/nz","New Zealand","Andrew Parker  drew.x.parker@nz.pwc.com T-64-0-4-462-7104","New Zealand","English"
"PricewaterhouseCoopers LLP (PWC)","www.pwc.com/ca/security","Canada","Adriana Gliga adriana.gliga@ca.pwc.com  T  1 416 815 5148","Canada","English, French"
"PricewaterhouseCoopers LLP - USA","www.pwc.com/us/security","USA","Pieter Penning  peter.penning@pwc.com T-678-419-1094","USA","English"
"Pricewaterhousecoopers Private Limited - India","www.pwc.in","India","Sivarama Krishnan sivarama.krishnan@in.pwc.com +91-124-3306018","Asia Pacific","English"
"Privasec Pty. Ltd","www.privasec.com.au","Australia","Prashant Haldankar Prashant.H@privasec.com.au +61431417822","Australia","English, Hindi, French"
"Privity Systems Inc.","www.privity.com","Canada","Shawn Chaput schaput@privity.com  T- 604-675-0200","Canada","English, Serbian"
"ProCheckUp Ltd","www.procheckup.com","UK","Edd Jones edd.jones@procheckup.com T: 0207 612 7777","Europe","English, German, Greek, Spanish"
"Protiviti","www.protiviti.com","Asia Pacific, CEMEA, Europe, LAC, USA, Australia, China, France, Germany, Hong Kong, Ireland, Italy, Japan, Netherlands, Singapore, Spain, UK, Canada","Jeffrey Sanchez (USA, LAC) jeffrey.sanchez@protiviti.com T-213-327-1433 Ryan Rubin (CEMEA, Europe) Ryan.Rubin@protiviti.co.uk T  44-207-389-0436 Enrico Ferretti enrico.ferretti@protiviti.com T-39 06 420498.202 Aaron Greenman (Australia) aaron.greenman@protiviti.com.au T+61 3 9948 1216 Michael Pang (Greater China) Michael.pang@protiviti.com T: +852-2238-0438 Sandeep Gupta (India) sandeep.gupta@protiviti.co.in T-91 22 6626 3320","Asia Pacific, CEMEA, Canada, Europe, LAC, USA","Chinese, English, German, Russian, Spanish, French, Arabic, Cantonese, Chinese (Mandarin), Dutch, Indonesian, Italian, Japanese, Urdu"
"Provadys","www.provadys.com","France","Luc Delpha pcissc@provadys.com T-33- 1 4699 9380","Europe","English, French"
"Pure Hacking","www.purehacking.com","Australia","David Muscat david.muscat@purehacking.com T: 61 2 92311134","Australia","English"
"QRC Consulting & Solutions Private Limited","www.qrcsolutionz.com/","India","Vamsi Krishna Maramganti  VamsiKrishna.M@qrcsolutionz.com T: +91 932 481 3180","India","English, Hindi, Telugu, Thai"
"Quest Consultants, LLC","www.aerstone.com","USA","Francis Schugar frank@aerstone.com T- 301-357-0782","USA","English"
"Razor Thorn Security Ltd.","www.razorthorn.co.uk","UK","James Rees james.rees@razorthorn.co.uk T-44-01622-873242","Europe","English, Spanish"
"Richard S. Carson & Associates","www.carsoninc.com","USA","Donna Ruginski RuginskiDL@CARSONINC.COM T: 301-841-0080","USA","English"
"Richter Advisory Group Inc.","www.rnankrimpen@richter.ca","Canada","Raymond Vankrimpen rvankrimpen@richter.ca T- 416-642-4833","Canada","English, French"
"Right Time Limited","www.righttime.biz","Bangladesh","Mohammad Tohidur Rahman Bhuiyan ceo.tohid@righttime.biz T-88-01714003040","Bangladesh","Bengali, English"
"Risk Associates Europe Ltd.","www.riskassociates.com.au","Australia, Pakistan, Saudi Arabia, UAE, Vietnam","Aftab Rizvi Aftab.rizvi@riskassociates.com.au T- 61-417-023-037","Australia, CEMEA","English, Mandarin, Urdu, Vietnamese"
"Risk-X LLP (fka Pentest Partners Consulting LLP)","www.risk-x.co.uk","UK, South Africa, UAE","Steve Marshall steve.marshall@risk-x.co.uk  T-44-7770-352438","CEMEA, Europe","English, Spanish"
"RiskSense Inc.","www.risksense.com","USA","Mark Fidel mfidel@risksense.com 505-217-9422","USA","English"
"Rits Information Security","www.ritsgroup.com","Ireland","Angela Madden  Angela.Madden@ritsgroup.com T  353-1-642-0500","Europe","English"
"Rivington Information Security Ltd","www.rivingtoninformationsecurity.com","UK","David Ward dave.ward@rivingtoninformationsecurity.com T - +44 7872 587953","Europe","English"
"Rock Pte. Ltd.","www.rocksolutions.com.sg","Asia Pacific","Gwendyln Chong Shu Ling  gwen.chong@rocksolutions.com.sg T- 65 8147 0539","Asia Pacific","English, Chinese (Mandarin)"
"RSI Systems Inc.","www.rsisecurity.com","USA","PCI Services pci@rsisecurity.com T-858-999-3030","USA","English, Korean, Spanish"
"RSM US LLP","www.rsmmcgladrey.com","USA","Alan Gutierrez RSMPCIDSSSPOC@rsmus.com T +1 215-494-6622","Asia Pacific, Canada, Europe, LAC, USA","English, Portuguese, Spanish, Arabic, Hebrew"
"S21SEC Gestion, S.A.","www.s21sec.com","Mexico, Spain, Portugal","Raul Rodriquez (Spain) rrodriguez@s21sec.com T- +34 902 222 521 Daniel Shepherd (Mexico)  dshepherd@s21sec.com T- 55 52 90 65 68","LAC, Europe","English, Spanish, Portuguese"
"SC2Labs","www.sc2labs.com","Poland","Grzegorz Lendecki greg.landecki@sc2labs.com T-48-666-383-015","CEMEA, Europe","English, German, Polish"
"Schellman & Company, LLC","https://www.schellmanco.com/","USA","Jacob Ansari pci@BrightLine.com T: +1-866-254-0000 x139","Asia Pacific, CEMEA, Canada, Europe, LAC, USA","English"
"Sec-1 Ltd.","www.sec-1.com/article/77/The-Sec-1-QSA-Solution-for-PCI-DSS","UK","Matt Hawnt matth@sec-1.com T- 01924 284 240","Europe","English"
