"Application Vendor","Website","Payment Application","Version Number","Application Type","Target Market","Reference Number","Validated According To","Deployment Notes","Revalidate Date","Expiry Date","Validated by PA-QSA","Description"
"DiamondTouch","","Marquis","6.2","POS Face-to-Face/POI","Pizza Restaurants","10-08.00253.001","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","14 Feb 2011","28 Oct 2013","Chief Security Officers","POS application geared to pizza restaurants.  The exceptional graphic order screen is visually driven and enables employees to take orders quickly and easily. DiamondTouchT uses intuitive icons that make special orders simple and checkout effortless.  The touch-and-go process reduces order entry time, eliminates keystroke errors, and is easy to learn. Improving the ordering process will accelerate table turns, improve delivery productivity, and increase sales."
"Diebold Nixdorf  (Wincor Nixdorf sp. z o.o.)","","PC-POS","1.0.x.y","POS Face-to-Face/POI","retail, municipal transport, car parks, hotels, petrol stations, vending","16-08.00708.002","PA-DSS v3.2","Acceptable for New Deployments","2 Mar 2019","28 Oct 2022","SC2Labs","PC-POS is a payment application designed to be used in unattended environment and retail stores for adding cashless payments to cash registers and self-service devices (ticketing machines, parking meters, vending machines, petrol dispensers etc.). The application covers all the cashless payment operations needed (authorization and settlement) and works with many acquirers/processors."
"Diebold Nixdorf s.r.o.","","PC-POS","1.0.3","POS Face-to-Face/POI","Retail","12-08.00708.001","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","Trustwave Holdings, Inc.","PC-POS is a payment application designed to be used in unattended environment and retail stores for adding cashless payments to cash registers and self-service devices (ticketing machines, parking meters, vending machines, petrol dispensers etc.). The application covers all the cashless payment operations needed (authorization and settlement) and works with many acquirers/processors."
"Diebold Nixdorf s.r.o.","","PMG EPS","4.4","Payment Middleware","A typical application customer is any small to large fuel forecourt and store with requirements to have specific payment application transaction logic on-site.","11-08.00708.002","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","Trustwave Holdings, Inc.","PMG EPS is a middleware payment application used for processing transactions according to defined rules and routing the transaction authorization request to the host authorization system. The application is indirectly used by consumers and merchant employees of the fuel station/store.  PMG EPS processes payment transaction requests according to defined rules and sends transaction authorization requests to third party gateway authorization systems. The payment application resides locally at a store or forecourt of a fuel station."
"Diebold Nixdorf s.r.o.","","PMG EPS","4.5","Payment Middleware","Large Retail, Petrol, Service Stations, Complex Integrated Environment","13-02.00708.003","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","13 Jan 2015","28 Oct 2016","Trustwave Holdings, Inc.","Module collecting payment requests from on-site POS/POS-like devices, managing site PEDs and processing to multiple hosts. Offline, loyalty, S&amp;F and remote management supported."
"Diebold Nixdorf s.r.o.","","PMG EPS","4.6","Payment Middleware","Large Retail, Petrol, Service Stations, Complex Integrated Environment","13-02.00708.003.aaa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","30 Jun 2016","28 Oct 2016","Trustwave Holdings, Inc.","Module collecting payment requests from on-site POS/POS-like devices, managing site PEDs and processing to multiple hosts. Offline, loyalty, S&amp;F and remote management supported."
"Diebold Nixdorf, Inc.","","Agilis 3 91x","3.0 SP4 SecUpdate 1","POS Kiosk","Banks, ATM Networks","17-07.01110.001","PA-DSS v3.2","Acceptable for New Deployments","15 May 2019","28 Oct 2022","Coalfire Systems, Inc","The Agilis 91x is an Automated Teller Machine (ATM) application that allows the ATM to communicate with a transaction host for all EFT transactions. The application drives the ATM and provides a consumer interface allowing a consumer to make withdrawals, deposits, check balance, and other financial transactions to include making cash advances against a consumer's credit card. In addition to the Agilis 91x consumer interface, the application supports a configuration utility that is used to configure the application. The application supports the use of an integrated magnetic stripe reader (MSR) for the reading of track data from the payment card and the Diebold EPP7 PTS/PED compliant PIN Pad (Approval Number 4-20269) for PIN entry."
"Diebold Nixdorf, Inc.","","Agilis 3 NDx","3.0 SP6 SecUpdate 1","POS Kiosk","Banks, ATM Networks","17-07.01110.002","PA-DSS v3.2","Acceptable for New Deployments","17 May 2019","28 Oct 2022","Coalfire Systems, Inc","The Agilis NDx is an Automated Teller Machine (ATM) application that allows the ATM to support the NDC protocol and to be installed in NDC or NDC+ networks without requiring any changes to the NDC host. The application drives the ATM and provides a consumer interface allowing a consumer to make withdrawals, deposits, check balance, and other financial transactions to include making cash advances against a consumer's credit card. In addition to the Agilis NDx consumer interface, the application supports a configuration utility that is used to configure the application. The application supports the use of an integrated magnetic stripe reader (MSR) for the reading of track data from the payment card and the Diebold EPP7 PTS/PED compliant PIN Pad (Approval Number 4-20269) for PIN entry."
"Diebold, Inc.","www.diebold.com/","Agilis 91x XV","2.4 SP5","POS Kiosk","Banking","11-07.00443.002","PA-DSS v1.2.1","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","NTT Security (US) Inc.","The Agilis 91x XV 2.4 SP5 is an Automated Teller Machine (ATM) application that allows the ATM to communicate with a transaction host for all EFT transactions. The application drives the ATM and provides a consumer interface allowing a consumer to make withdrawals, deposits, check balance, and other financial transactions to include making cash advances against a consumer's credit card. In addition to the Agilis 91x XV consumer interface, the application supports a configuration utility that is used to configure the application. The application supports the use of an integrated magnetic stripe reader (MSR) for the reading of track data from the payment card and the Diebold EPP5 PTS/PED compliant PIN Pad (Approval Number 4-20054) for PIN entry."
"Diebold, Inc.","www.diebold.com/","Agilis 91x XV","2.4.0 CSD 1 Patch 1","POS Kiosk","Banking","11-07.00443.001","PA-DSS v1.2.1","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","NTT Security (US) Inc.","The Agilis 91x XV 2.4.0 CSD 1 Patch 1 is an Automated Teller Machine (ATM) application that allows the ATM to communicate with a transaction host for all EFT transactions. The application drives the ATM and provides a consumer interface allowing a consumer to make withdrawals, deposits, check balance, and other financial transactions to include making cash advances against a consumer's credit card. In addition to the Agilis 91x XV consumer interface, the application supports a configuration utility that is used to configure the application. The application supports the use of an integrated magnetic stripe reader (MSR) for the reading of track data from the payment card and the Diebold EPP5 PTS/PED compliant PIN Pad (Approval Number 4-20054) for PIN entry."
"Diebold, Inc.","www.diebold.com/","Agilis 91x XV","2.4 Patch 8","POS Kiosk","Financial Institutions","14-07.00443.005","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","4 Jun 2015","28 Oct 2016","Coalfire Systems, Inc","Agilis 91x XV is an Automated Teller Machine (ATM) application that allows the ATM to communicate with a transaction host for all EFT transactions. The application drives the ATM and provides a consumer interface allowing a consumer to make withdrawals, deposits, check balance, and other financial transactions to include making cash advances against a consumer's credit card."
"Diebold, Inc.","www.diebold.com/","Agilis 91x","3.0 SP1","POS Kiosk","Banking","11-07.00443.003","PA-DSS v1.2.1","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","NTT Security (US) Inc.","The Agilis 91x 3.0 SP1 is a POS Kiosk (Automated Teller Machine (ATM)) application that allows the ATM to communicate with a transaction host for all EFT transactions.  The application drives the ATM and provides a consumer interface allowing a consumer to make withdrawals, deposits, check balance, and other financial transactions to include making cash advances against a consumer's credit card.  In addition to the Agilis 91x consumer interface, the application supports a configuration utility that is used to configure the application.  The application supports the use of an integrated magnetic stripe reader (MSR) for the reading of track data from the payment card and the Diebold EPP5 PTS/PED compliant PIN Pad (Approval Number 4-20054) for PIN entry."
"Diebold, Inc.","www.diebold.com/","Agilis 91x","3.0 SP2","POS Suite/General","Banking","11-07.00443.003.baa","PA-DSS v1.2.1","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","NTT Security (US) Inc.","The Agilis 91x 3.0 SP1 is a POS Kiosk (Automated Teller Machine (ATM)) application that allows the ATM to communicate with a transaction host for all EFT transactions.  The application drives the ATM and provides a consumer interface allowing a consumer to make withdrawals, deposits, check balance, and other financial transactions to include making cash advances against a consumer's credit card.  In addition to the Agilis 91x consumer interface, the application supports a configuration utility that is used to configure the application.  The application supports the use of an integrated magnetic stripe reader (MSR) for the reading of track data from the payment card and the Diebold EPP5 PTS/PED compliant PIN Pad (Approval Number 4-20054) for PIN entry."
"Diebold, Inc.","www.diebold.com/","Agilis 91x","3.0 SP3","POS Kiosk","Financial Institutions","14-07.00443.006","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","Coalfire Systems, Inc","Agilis 91x is an Automated Teller Machine (ATM) application that allows the ATM to communicate with a transaction host for all EFT transactions. The application drives the ATM and provides a consumer interface allowing a consumer to make withdrawals, deposits, check balance, and other financial transactions to include making cash advances against a consumer's credit card."
"Diebold, Inc.","www.diebold.com/","Agilis NDx","3.0 SP2","POS Kiosk","Banking","11-07.00443.004","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","NTT Security (US) Inc.","The Agilis NDx 3.0 is an Automated Teller Machine (ATM) application that allows the ATM to support the NDC protocol and to be installed in NDC or NDC+ networks without requiring any changes to the NDC host. The application drives the ATM and provides a consumer interface allowing a consumer to make withdrawals, deposits, check balance, and other financial transactions to include making cash advances against a consumer's credit card. In addition to the Agilis NDx consumer interface, the application supports a configuration utility that is used to configure the application. The application supports the use of an integrated magnetic stripe reader (MSR) for the reading of track data from the payment card and the Diebold EPP5 PTS/PED compliant PIN Pad (Approval Number 4-20054) for PIN entry."
"Diebold, Inc.","www.diebold.com/","Agilis NDx","3.0 SP3","POS Kiosk","Banking","11-07.00443.004.aaa","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","NTT Security (US) Inc.","The Agilis NDx 3.0 is an Automated Teller Machine (ATM) application that allows the ATM to support the NDC protocol and to be installed in NDC or NDC+ networks without requiring any changes to the NDC host. The application drives the ATM and provides a consumer interface allowing a consumer to make withdrawals, deposits, check balance, and other financial transactions to include making cash advances against a consumer's credit card. In addition to the Agilis NDx consumer interface, the application supports a configuration utility that is used to configure the application. The application supports the use of an integrated magnetic stripe reader (MSR) for the reading of track data from the payment card and the Diebold EPP5 PTS/PED compliant PIN Pad (Approval Number 4-20054) for PIN entry."
"Diebold, Inc.","www.diebold.com/","Agilis NDx","3.0 SP5","POS Kiosk","Financial Institutions","14-07.00443.007","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","Coalfire Systems, Inc","Agilis NDx is an Automated Teller Machine (ATM) application that allows the ATM to support the NDC protocol and to be installed in NDC or NDC+ networks without requiring any changes to the NDC host. The application drives the ATM and provides a consumer interface allowing a consumer to make withdrawals, deposits, check balance, and other financial transactions to include making cash advances against a consumer's credit card."
"Diebold, Inc.","www.diebold.com/","Agilis® 91x","3.0 SP4","POS Kiosk","Financial Institutions","14-07.00443.008","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","Coalfire Systems, Inc","Agilis 91x SP4 is an ATM application suite that accommodates banking customer experience at an ATM kiosk. The Agilis 91x SP4 application integrates the ATM devices (e.g., card reader, dispenser, depositor, display, keypad, printers, etc.) to facilitate financial transactions initiated by a banking."
"Digicom International, Inc.","","Mercury Plus Restaurant Manager","2.4","POS Suite/General","Restaurants, Bars","11-01.00383.001","PA-DSS v1.2.1","Acceptable only for Pre-Existing Deployments","17 Jan 2013","28 Oct 2013","Coalfire Systems, Inc","The Mercury Plus Restaurant Management is for efficient restaurant management including ordering, payment, settlement, logistics management, employee and customer information management."
"Digital Rez International","digitalrez.com","RezExpert","7.1","POS Face-to-Face/POI","Non-aligned independent motel, small hotel, hostel, bed &amp; breakfast, campground RV park operators, and centrally managed and privately owned resort networks.","10-08.00244.003","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","26 Apr 2013","28 Oct 2013","Chief Security Officers","The RezExpert property management and reservation system is designed to accommodate the business needs of the reservations industry."
"Digital Rez International","digitalrez.com","ROS2006","1.91","POS Face-to-Face/POI","Motels, Hotel, Hostel, Campground and RV park operators.","10-08.00244.001","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","7 Feb 2012","28 Oct 2013","Chief Security Officers","ROS2006 is a property management and reservation system that is used by campgrounds, charters, tours, timeshares, bed &amp; breakfast inns, hostels, hotel, motels, and marinas."
"Digital Rez International","digitalrez.com","RVTripsetter","1.91","POS Face-to-Face/POI","Motels, Hotel, Hostel, Campground and RV park operators.","10-08.00244.002","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","16 Feb 2012","28 Oct 2013","Chief Security Officers","RVTripsetter is a property management and reservation system that is used by campgrounds, charters, tours, timeshares, bed &amp; breakfast inns, hostels, hotel, motels, and marinas."
"DineEquity, Inc.","","A1POS","4.3.8","POS Suite/General","Restaurants","14-01.00932.001","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","9 Oct 2015","28 Oct 2016","Trustwave Holdings, Inc.","The A1POS system is comprised of several different products, one being the actual POS system, another being the A1 Cards system, and the other is a third party system that was developed by ELAVON a third party clearing house that processes credit card transactions."
"DineEquity, Inc.","","A1POS","5.0.x.x","POS Suite/General","Restaurants","15-01.00932.002","PA-DSS v3.1","Acceptable only for Pre-Existing Deployments","19 Jan 2017","28 Oct 2019","Trustwave Holdings, Inc.","A1POS is used by Applebee's retail franchises to run the day-to-day operations at the retail store locations including taking credit card payments from customers."
"DineEquity, Inc.","","A1POS","5.2.x.x","POS Suite/General","Restaurant POS Suite","17-01.00932.003","PA-DSS v3.2","Acceptable only for Pre-Existing Deployments","29 Mar 2018","28 Oct 2022","ControlCase, LLC","A1POS is used by Applebee's retail franchises to run the day-to-day operations at the retail store locations including taking credit card payments from customers."
"Dinerware","www.dinerware.com","Dinerware Payments Engine","2.9","POS Suite/General","Hospitality &amp; Restaurant","13-01.00320.002","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","22 Jul 2016","28 Oct 2016","Coalfire Systems, Inc","Unified Payments Engine for Dinerware POS and branded variants."
"Dinerware","www.dinerware.com","Dinerware Payments Engine","2.9","POS Suite/General","Restaurants and other Food Service establishments","16-01.00320.003","PA-DSS v3.2","Acceptable for New Deployments","16 Sep 2018","28 Oct 2022","Coalfire Systems, Inc","Unified Payments Engine for Dinerware POS and branded variants."
"Dinerware","www.dinerware.com","DW Payments Engine","2.9","POS Admin","Hospitality","09-01.00320.001","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","1 Jun 2013","28 Oct 2013","Coalfire Systems, Inc","Unified Payments Engine for Dinerware POS and branded variants."
"Direção","","D-TEF","8.1","Payment Middleware","Retail merchants","11-02.00581.001","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","23 Sep 2012","28 Oct 2013","Trustwave Holdings, Inc.","pass it the cardholder data. D-TEF then creates a transaction and processes it. The merchants software can also call D-TEF, but not pass the cardholder data. D-TEF collects the cardholder data, either by reading it from the hardware, or by displaying a GUI for entry. The application can also act as a standalone application running on a VeriFone terminal, which collects cardholder data and processes the transactions. The application supports transactions requiring PAN, track, PIN, or CVV2 data. The application does not perform settlement or chargebacks, and is not a web-based payment system. It could be used by a webbased payment system, but it does not have any web-based functionality used for authorization or settlement. It also supports having a purchase divided into multiple payments, which is common in Brazil. No cardholder data is stored for this, however. One transaction is sent to the processors, who then charge each payment separately. The application has both client and server components. In most cases, both components are installed at the merchants location. In this case, the merchant supplies all of the hardware. Direção also provides a hosting service, in which the BOH server and other equipment is hosted by the vendor. The merchant installs the D-TEF Client at their location. The other modules (e.g., D-TEF Server, D-TEF Gateway, database server) are all installed at the vendors datacenter, where they are managed. In this case, the vendor supplies the hardware used at the datacenter."
"Direção","","D-TEF","8.1","Payment Middleware","Retail merchants","11-02.00581.001.aaa","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","Trustwave Holdings, Inc.","pass it the cardholder data. D-TEF then creates a transaction and processes it. The merchants software can also call D-TEF, but not pass the cardholder data. D-TEF collects the cardholder data, either by reading it from the hardware, or by displaying a GUI for entry. The application can also act as a standalone application running on a VeriFone terminal, which collects cardholder data and processes the transactions. The application supports transactions requiring PAN, track, PIN, or CVV2 data. The application does not perform settlement or chargebacks, and is not a web-based payment system. It could be used by a webbased payment system, but it does not have any web-based functionality used for authorization or settlement. It also supports having a purchase divided into multiple payments, which is common in Brazil. No cardholder data is stored for this, however. One transaction is sent to the processors, who then charge each payment separately. The application has both client and server components. In most cases, both components are installed at the merchants location. In this case, the merchant supplies all of the hardware. Direção also provides a hosting service, in which the BOH server and other equipment is hosted by the vendor. The merchant installs the D-TEF Client at their location. The other modules (e.g., D-TEF Server, D-TEF Gateway, database server) are all installed at the vendors datacenter, where they are managed. In this case, the vendor supplies the hardware used at the datacenter."
"Distra Pty. Ltd.","www.distra.com","Distra Switch","Release 2.4","Payment Gateway/ Switch","","09-00.00194.001","PABP 1.4","Acceptable only for Pre-Existing Deployments","2 Dec 2009","2 Mar 2011","Verizon/CyberTrust","Distributed EFT payments software switch, providing for interchange, gateway, issuer and front end processing"
"Distra Pty. Ltd.","www.distra.com","Distra Universal Switch","2.5","Payment Gateway/ Switch","Banks and large payment processors","09-03.00194.002","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","K3DES, LLC","The Distra Universal Switch is an Electronic Funds Transfer (EFT) payment switch."
"Distra Pty. Ltd.","www.distra.com","Distra Universal Payments Platform","2.5","Payment Gateway/ Switch","Banks and large payment processors","11-03.00194.002.aaa","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","2 May 2013","28 Oct 2013","K3DES, LLC","The Distra Universal Payments Platform is an Electronic Funds Transfer (EFT) payment switch."
"Domain Entertainment","www.dpos.com","Domain Point of Sale (DPOS)","2.2.x","POS Face-to-Face/POI","","08-08.00042.001","Prior to PABP 1.3","Acceptable only for Pre-Existing Deployments","2 Dec 2012","2 Dec 2009","Sikich LLP","DPOS is a stand alone point of sale credit card processing application that offers multiple forms of input s for processing and multiple processors to choose from"
"Domino's Pizza, Inc.","www.dominos.com/home/index.jsp","Pulse","3.6","POS Face-to-Face/POI","Pulse is exclusively licensed to and used by Domino's franchises worldwide and it is also used within Domino's corporate owned pizza stores.","11-08.00515.001","PA-DSS v1.2.1","Acceptable only for Pre-Existing Deployments","29 Mar 2013","28 Oct 2013","NetSPI","Domino's Pulse v3.6 is a point-of-sale and store management system. The core of Pulse is the order entry functionality, the make-line interface, and the dispatch/delivery module. Additional components include team member management, system setup and configura-tion, store management, time clock, and a web service for handling Internet orders.  Credit card payments are processed by Pulse in one of 3 ways: 1.	On premise Ordering: Payment information (PAN, expiration date, cardholder name) is entered into Pulse either manually or with a magnetic swipe reader by a store employee.  The payment information is then transmitted to either Paymentech or the ACI Gateway for authorization.  2.	Remote Ordering: Pulse processes credit card payments that it receives from a separate hosted online ordering system or from a Domino's call center.  Payment information (PAN, expiration date, cardholder name) along with the order is sent to the store's Pulse system for processing via the Pulse web service. 3.	Future Dated Timed Orders: Pulse accepts (either on premise or remote) and stores either the PAN or a token for up to 20 days in advance of a delivery.   At the end of the day, the settlement process occurs with either Paymentech or ACI Gateway for all orders that were processed (delivered), closing out the day's transactions."
"Domino's Pizza, Inc.","www.dominos.com/home/index.jsp","Pulse","3.7","POS Specialized","Pulse is exclusively licensed to and used by Domino's franchises worldwide and it is also used within Domino's corporate owned pizza stores.","13-06.00515.002","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","11 Oct 2015","28 Oct 2016","NetSPI","Domino's Pulse is a point-of-sale and store management system. The core of Pulse is the order entry functionality, the make-line interface, and the dispatch/delivery module. Additional components include team member management, system setup and configuration, store management, time clock, and a web service for handling Internet orders."
"Domino's Pizza, Inc.","www.dominos.com/home/index.jsp","Pulse","3.71","POS Specialized","Pulse is exclusively licensed to and used by Domino's franchises worldwide and it is also used within Domino's corporate owned pizza stores.","13-06.00515.002.aaa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","22 Oct 2015","28 Oct 2016","NetSPI","Domino's Pulse is a point-of-sale and store management system. The core of Pulse is the order entry functionality, the make-line interface, and the dispatch/delivery module. Additional components include team member management, system setup and configuration, store management, time clock, and a web service for handling Internet orders."
"Donor Direct","","DonorStudio","3.0.2","Payment Back Office","Religious non-profit","12-04.00636.001","PA-DSS v1.2.1","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","Sikich LLP","Donor management tool with multiple ways of viewing information"
"Donor Direct","","DonorStudio","5.0","Card-Not-Present","Nonprofit donation services","14-10.00636.002","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","8 May 2015","28 Oct 2016","Sikich LLP","DonorStudio functioned in a client/server format which facilitated the transmission of cardholder data to payment processors. DonorStudio installed on Microsoft Windows 7, Service Pack 1, and three instances Windows Server 2008 R2.  DonorStudio required the use of Active Directory through a Microsoft Domain Controller, Microsoft SQL 2008, and DonorStudio did not have any dependencies other than the operating system of the machine."
"Donor Direct","","StudioEnterprise","8.0.X","Card-Not-Present","Non-profit religious organizations","15-10.00636.003","PA-DSS v3.1","Acceptable for New Deployments","20 May 2018","28 Oct 2019","Coalfire Systems, Inc","StudioEnterprise application is used by customer service representatives within organizations to facilitate the recording and processing of customer information, transactions, receipting and shipping. StudioEnterprise is also used as a marketing and reporting tool to help inform the organization on how well they are performing"
"Dovetail Systems, Inc.","","Gusto","1.0","POS Face-to-Face/POI","Restaurant and Hospitality Food &amp; Beverage","14-08.00936.001","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","Trustwave Holdings, Inc.","Gusto 1.0 is a next generation Point-of-Sale built for the restaurant and hospitality industries.  Gusto POS has installs in operations of all sizes ranging from small, independent proprietors through enterprise multi-unit."
"Dovetail Systems, Inc.","","Gusto","1.1.x","POS Face-to-Face/POI","Restaurant and Hospitality Food &amp; Beverage","16-08.00936.002","PA-DSS v3.2","Acceptable for New Deployments","1 Mar 2019","28 Oct 2022","Trustwave Holdings, Inc.","Gusto 1.1.x is a Point-of-Sale built for the restaurant and hospitality industries.  Gusto POS powers businesses of all sizes ranging from small, independent proprietors through enterprise multi-unit."
"DPS Engineering GmbH","www.dps-engineering.de","eCMS-Client","1.03.XX","POS Kiosk","Retail banks, Retailer, Independent Service Operators","16-07.00466.002","PA-DSS v3.2","Acceptable for New Deployments","9 Mar 2019","28 Oct 2022","usd AG","eCMS-Client is a manufacturer-neutral and multifunctional platform for the operation of cash and non-cash solutions. The spectrum ranges from cash machines to multifunction terminals."
"DPS Engineering GmbH","www.dps-engineering.de","eCMS-Suite","1.5.0","Payment Middleware","Banks, Independent ATM Operators and Retailer","11-02.00466.001","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","26 May 2012","28 Oct 2016","usd AG","The eCMS-Suite 1.5.0 is the manufacturer-neutral and multifunctional platform for the operation of cash and non-cash solutions. Products range from cash machines, recycling systems and multifunctional terminals for business financing to cash-integrated solutions for retail cash management. In German-speaking countries, more than 30,000 terminal devices are operated using this solution."
"DRB Systems, LLC","www.drbsystems.com","SiteWatch Xpress Card Clearing System (XCCS)","2.0","POS Suite/General","Car Washes and Lube Shops","11-01.00355.002","PA-DSS v1.2.1","Acceptable only for Pre-Existing Deployments","17 Jun 2013","28 Oct 2013","Coalfire Systems, Inc","The SiteWatch Xpress Card Clearing System consists of a set of modules which handle card processing from the swipe/manual entry to the card processor. Card data is tokenized, encrypted and stored. The token can then be used by an external Point of Sale system (SiteWatch in this case) to manage the financial aspects of the transaction."
"DRB Systems, LLC","www.drbsystems.com","SiteWatch Xpress Card Clearing System (XCCS)","2.1","POS Suite/General","Car Washes and Lube Shops","11-01.00355.002.aaa","PA-DSS v1.2.1","Acceptable only for Pre-Existing Deployments","5 Jul 2013","28 Oct 2013","Coalfire Systems, Inc","The SiteWatch Xpress Card Clearing System consists of a set of modules which handle card processing from the swipe/manual entry to the card processor. Card data is tokenized, encrypted and stored. The token can then be used by an external Point of Sale system (SiteWatch in this case) to manage the financial aspects of the transaction."
"DRB Systems, LLC","www.drbsystems.com","SiteWatch Xpress Card Clearing System (XCCS)","2.6","POS Suite/General","Car Washes and Lube Shops","11-01.00355.002.baa","PA-DSS v1.2.1","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","Coalfire Systems, Inc","The SiteWatch Xpress Card Clearing System consists of a set of modules which handle card processing from the swipe/manual entry to the card processor. Card data is tokenized, encrypted and stored. The token can then be used by an external Point of Sale system (SiteWatch in this case) to manage the financial aspects of the transaction."
"DRB Systems, LLC","www.drbsystems.com","SiteWatch Xpress Card Clearing System (XCCS)","3.0","POS Suite/General","Car Washes and Lube Shops","13-01.00355.003","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","14 May 2014","28 Oct 2016","Coalfire Systems, Inc","DRB Systems SiteWatch Xpress Card Clearing System (XCCS) payment application is a point of sale and management application used by car wash and lube shop merchants. The application is intended for both card present and card not present transactions."
"DRB Systems, LLC","www.drbsystems.com","SiteWatch Xpress Card Clearing System (XCCS)","3.0.3","POS Suite/General","Car Washes and Lube Shops","13-01.00355.003.aaa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","1 May 2015","28 Oct 2016","Coalfire Systems, Inc","DRB Systems SiteWatch Xpress Card Clearing System (XCCS) payment application is a point of sale and management application used by car wash and lube shop merchants. The application is intended for both card present and card not present transactions."
"DRB Systems, LLC","www.drbsystems.com","SiteWatch Xpress Card Clearing System (XCCS)","3.1.0","POS Suite/General","Car Washes and Lube Shops","13-01.00355.003.baa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","21 Aug 2015","28 Oct 2016","Coalfire Systems, Inc","DRB Systems SiteWatch Xpress Card Clearing System (XCCS) payment application is a point of sale and management application used by car wash and lube shop merchants. The application is intended for both card present and card not present transactions."
"DRB Systems, LLC","www.drbsystems.com","SiteWatch Xpress Card Clearing System (XCCS)","3.2.0","POS Suite/General","Car Washes and Lube Shops","13-01.00355.003.caa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","9 Jul 2016","28 Oct 2016","Coalfire Systems, Inc","DRB Systems SiteWatch Xpress Card Clearing System (XCCS) payment application is a point of sale and management application used by car wash and lube shop merchants. The application is intended for both card present and card not present transactions."
"DRB Systems, LLC","www.drbsystems.com","SiteWatch Xpress Card Clearing System (XCCS)","3.3.0","POS Suite/General","Car Washes and Lube Shops","13-01.00355.003.daa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","6 Oct 2016","28 Oct 2016","Coalfire Systems, Inc","DRB Systems SiteWatch Xpress Card Clearing System (XCCS) payment application is a point of sale and management application used by car wash and lube shop merchants. The application is intended for both card present and card not present transactions."
"DRB Systems, LLC","www.drbsystems.com","SiteWatch Xpress Card Clearing System (XCCS)","4.0.x.x","POS Suite/General","Car washed and Lube shops","16-01.00355.004","PA-DSS v3.1","Acceptable only for Pre-Existing Deployments","10 Aug 2017","28 Oct 2019","Coalfire Systems, Inc","DRB Systems SiteWatch Xpress Card Clearing System (XCCS) payment application is a point of sale and management application used by car wash and lube shop merchants. The application is intended for both card present and card not present transactions."
"DRB Systems, LLC","www.drbsystems.com","SiteWatch Xpress Card Clearing System (XCCS)","4.1.x.x","POS Suite/General","Car washes, lube shops, and convenience stores","16-01.00355.004.aaa","PA-DSS v3.1","Acceptable only for Pre-Existing Deployments","22 Dec 2017","28 Oct 2019","Coalfire Systems, Inc","DRB Systems SiteWatch Xpress Card Clearing System (XCCS) payment application is a point of sale and management application used by car wash and lube shop merchants. The application is intended for both card present and card not present transactions."
"DRB Systems, LLC","www.drbsystems.com","SiteWatch Xpress Card Clearing System (XCCS)","4.4.x.x","POS Suite/General","Car washes, lube shops and convenience stores","16-01.00355.004.daa","PA-DSS v3.2","Acceptable for New Deployments","2 Oct 2018","28 Oct 2022","Coalfire Systems, Inc","DRB Systems SiteWatch Xpress Card Clearing System (XCCS) payment application is a point of sale and management application used by car wash and lube shop merchants. The application is intended for both card present and card not present transactions."
